Variable,bmad_name,device_pv_name,pv_unit,impact_name,impact_factor,impact_description,impact_unit
Solenoid,SOL10111,SOLN:IN10:121:BACT,kG*m,SOL10111:solenoid_field_scale,0.51427242,peak field,T
Bucking Coil,,SOLN:IN10:111:BACT,kG*m,,,,
Corrector quad,CQ10121,QUAD:IN10:121:BACT,kG,CQ10121:b1_gradient,-0.476190476,Corrector quad gradient,T/m
Skew quad,SQ10122,QUAD:IN10:122:BACT,kG,SQ10122:b1_gradient,-0.476190476,Skew quad gradient,T/m
L0AF phase,L0AF,,deg,L0AF_phase:dtheta0_deg,1,Phase relative to on-crest,deg
L0BF phase,L0BF,,deg,L0BF_phase:dtheta0_deg,1,Phase relative to on-crest,deg
L0BF voltage,L0AF,,MV,L0AF_scale:voltage,1000000,Voltage,V
L0BF voltage,L0BF,,MV,L0BF_scale:voltage,1000000,Voltage,V
QA10361,QA10361,QUAD:IN10:361:BACT,kG,QA10361:b1_gradient,-0.925925926,10.8 cm quad,T/m
QA10371,QA10371,QUAD:IN10:371:BACT,kG,QA10371:b1_gradient,-0.925925926,10.8 cm quad,T/m
QE10425,QE10425,QUAD:IN10:425:BACT,kG,QE10425:b1_gradient,-0.925925926,10.8 cm quad,T/m
QE10441,QE10441,QUAD:IN10:441:BACT,kG,QE10441:b1_gradient,-0.925925926,10.8 cm quad,T/m
QE10511,QE10511,QUAD:IN10:511:BACT,kG,QE10511:b1_gradient,-0.925925926,10.8 cm quad,T/m
QE10525,QE10525,QUAD:IN10:525:BACT,kG,QE10525:b1_gradient,-0.925925926,10.8 cm quad,T/m
charge,CATHODE,BPMS:IN10:371:TMIT,n_electrons,distgen:total_charge:value,1.602176634e-07,total charge on cathode, pC
