Variable,bmad_name,device_pv_name,pv_unit,impact_name,impact_factor,impact_offset,impact_description,impact_unit
Gun Voltage,RFGUNB,SOLN:GUNB:212:BACT,xxx,RFGUNB:rf_field_scale,0,1.84E+07,Value for 700 kV ,V/m
Gun phase,RFGUNB,SOLN:GUNB:212:BACT,xxx,RFGUNB:autophase_deg,0,0.00E+00,,deg
Solenoid 1,SOL1B,SOLN:GUNB:212:BACT,kG*m,SOL1B:solenoid_field_scale,1.159555454,0,peak field,T
Solenoid 2,SOL2B,SOLN:GUNB:823:BACT,kG*m,SOL2B:solenoid_field_scale,1.159555454,0,peak field,T
charge,CATHODE,BPMS:GUNB:314:TMIT,n_electrons,distgen:total_charge:value,1.60E-07,0,total charge on cathode, pC
Buncher Voltage,BUN1B,ACCL:GUNB:455:AACT_AVG,MV,BUN1B:rf_field_scale,0,1786301.125,values for 200 kV,V/m
Buncher Phase,BUN1B,ACCL:GUNB:455:PACT_AVG,deg,BUN1B:autophase_deg,0,-60,phase relative to on-crest,deg
Cavity 1 voltage,CAVL011,ACCL:L0B:0110:AACTMEAN,MV,CAVL011:rf_field_scale,1861947.347,0,peak on-axis electric field,V/m
Cavity 2 voltage,CAVL012,ACCL:L0B:0120:AACTMEAN,MV,CAVL012:rf_field_scale,1861947.347,0,peak on-axis electric field,V/m
Cavity 3 voltage,CAVL013,ACCL:L0B:0130:AACTMEAN,MV,CAVL013:rf_field_scale,1861947.347,0,peak on-axis electric field,V/m
Cavity 4 voltage,CAVL014,ACCL:L0B:0140:AACTMEAN,MV,CAVL014:rf_field_scale,1861947.347,0,peak on-axis electric field,V/m
Cavity 5 voltage,CAVL015,ACCL:L0B:0150:AACTMEAN,MV,CAVL015:rf_field_scale,1861947.347,0,peak on-axis electric field,V/m
Cavity 6 voltage,CAVL016,ACCL:L0B:0160:AACTMEAN,MV,CAVL016:rf_field_scale,1861947.347,0,peak on-axis electric field,V/m
Cavity 7 voltage,CAVL017,ACCL:L0B:0170:AACTMEAN,MV,CAVL017:rf_field_scale,1861947.347,0,peak on-axis electric field,V/m
Cavity 8 voltage,CAVL018,ACCL:L0B:0180:AACTMEAN,MV,CAVL018:rf_field_scale,1861947.347,0,peak on-axis electric field,V/m
Cavity 1 phase,CAVL011,ACCL:L0B:0110:PACTMEAN,deg,CAVL011:autophase_deg,1,0,phase relative to on-crest,deg
Cavity 2 phase,CAVL012,ACCL:L0B:0120:PACTMEAN,deg,CAVL012:autophase_deg,1,0,phase relative to on-crest,deg
Cavity 3 phase,CAVL013,ACCL:L0B:0130:PACTMEAN,deg,CAVL013:autophase_deg,1,0,phase relative to on-crest,deg
Cavity 4 phase,CAVL014,ACCL:L0B:0140:PACTMEAN,deg,CAVL014:autophase_deg,1,0,phase relative to on-crest,deg
Cavity 5 phase,CAVL015,ACCL:L0B:0150:PACTMEAN,deg,CAVL015:autophase_deg,1,0,phase relative to on-crest,deg
Cavity 6 phase,CAVL016,ACCL:L0B:0160:PACTMEAN,deg,CAVL016:autophase_deg,1,0,phase relative to on-crest,deg
Cavity 7 phase,CAVL017,ACCL:L0B:0170:PACTMEAN,deg,CAVL017:autophase_deg,1,0,phase relative to on-crest,deg
Cavity 8 phase,CAVL018,ACCL:L0B:0180:PACTMEAN,deg,CAVL018:autophase_deg,1,0,phase relative to on-crest,deg
Q0H01 field,Q0H01,QUAD:HTR:120:BACT,kG*m,Q0H01:b1_gradient,-0.803858521,0,magnetic field gradient,T/m
Q0H02 field,Q0H02,QUAD:HTR:140:BACT,kG*m,Q0H02:b1_gradient,-0.803858521,0,magnetic field gradient,T/m
Q0H03 field,Q0H03,QUAD:HTR:300:BACT,kG*m,Q0H03:b1_gradient,-0.803858521,0,magnetic field gradient,T/m
Q0H04 field,Q0H04,QUAD:HTR:320:BACT,kG*m,Q0H04:b1_gradient,-0.803858521,0,magnetic field gradient,T/m
Q0H05 field,Q0H05,QUAD:HTR:365:BACT,kG*m,Q0H05:b1_gradient,-0.803858521,0,magnetic field gradient,T/m
Q0H06 field,Q0H06,QUAD:HTR:385:BACT,kG*m,Q0H06:b1_gradient,-0.803858521,0,magnetic field gradient,T/m
Q0H07 field,Q0H07,QUAD:HTR:440:BACT,kG*m,Q0H07:b1_gradient,-0.803858521,0,magnetic field gradient,T/m
Q0H08 field,Q0H08,QUAD:HTR:460:BACT,kG*m,Q0H08:b1_gradient,-0.803858521,0,magnetic field gradient,T/m
